ThetaA,Vdpp,u(theta A),
90,125,0.5,2
85,132,0.5,2
80,138,0.5,2
75,144,0.5,2
70,146,0.5,2
65,148,0.5,2
60,145,0.5,2
55,141,0.5,2
50,136,0.5,2
45,126,0.5,2
40,118,0.5,2
35,107,0.5,2
30,96.8,0.5,0.2
25,83.2,0.5,0.2
20,72.8,0.5,0.2
15,59.6,0.5,0.2
10,50.4,0.5,0.2
5,38.4,0.5,0.2
0,30.6,0.5,0.2
-5,24,0.5,0.2
-10,17.2,0.5,0.2
-15,13.4,0.5,0.2
-20,11.4,0.5,0.2
-25,11.1,0.5,0.2
-30,13.4,0.5,0.2
-35,17.5,0.5,0.2
-40,24,0.5,0.2
-45,31.2,0.5,0.2
-50,39.8,0.5,0.2
-55,47.6,0.5,0.2
-60,58.4,0.5,0.2
-65,71.2,0.5,0.2
-70,83.2,0.5,0.2
-75,94.4,0.5,0.2
-80,109,0.5,2
-85,118,0.5,2
-90,126,0.5,2
-95,134,0.5,2
