T1,R1 ,I1,u(I1),T2,R2,I2,u(I2),T3,R3,I3,u(I3),T4,R4,I4,u(I4),T5,R5,I5,u(I5),u(T) ,u(R)
24.6,109.7,7.7,0.1,106.0,144.3,1385.0,1.0,30.5,111.9,13.7,0.1,103.5,141.5,1201.0,1.0,14.6,195.2,0.0,0.0,0.1,0.1
24.4,109.7,7.7,0.1,105.5,144.1,1353.0,1.0,31.0,111.9,13.0,0.1,103.0,141.5,1150.0,1.0,15.1,105.4,0.0,0.0,,
25.0,109.7,8.6,0.1,105.0,144.0,1323.0,1.0,31.5,112.0,13.6,0.1,102.5,141.5,1113.0,1.0,15.6,105.4,0.0,0.0,,
25.5,109.7,8.9,0.1,104.5,143.9,1293.0,1.0,32.0,112.1,14.2,0.1,102.0,141.5,1090.0,1.0,16.1,105.5,0.0,0.0,,
26.0,109.8,9.3,0.1,104.0,143.8,1264.0,1.0,32.5,112.2,14.9,0.1,101.5,141.5,1066.0,1.0,16.6,105.7,0.0,0.0,,
26.6,109.9,9.8,0.1,103.5,143.6,1233.0,1.0,33.0,112.3,15.6,0.1,101.0,141.4,1040.0,1.0,17.1,105.8,0.0,0.0,,
27.0,110.0,10.2,0.1,103.0,143.5,1204.0,1.0,33.5,112.4,16.3,0.1,100.5,141.3,1017.0,1.0,17.6,105.9,0.0,0.0,,
27.5,110.1,10.5,0.1,102.5,143.3,1176.0,1.0,34.0,112.5,17.0,0.1,100.0,141.3,1000.0,1.0,18.1,106.0,0.0,0.0,,
28.0,110.2,10.9,0.1,102.0,143.1,1150.0,1.0,34.5,112.7,17.6,0.1,99.5,141.2,981.0,1.0,18.6,106.2,0.0,0.0,,
28.5,110.3,11.4,0.1,101.5,142.9,1120.0,1.0,35.0,112.8,18.2,0.1,99.0,141.1,959.0,1.0,19.1,106.3,0.0,0.0,,
29.0,110.5,11.8,0.1,101.0,142.8,1098.0,1.0,35.5,113.0,19.0,0.1,98.5,140.9,933.0,1.0,19.6,106.5,0.0,0.0,,
29.5,110.6,12.3,0.1,100.5,142.6,1071.0,1.0,36.0,113.1,19.8,0.1,98.0,140.8,911.0,1.0,20.1,106.6,0.0,0.0,,
30.0,110.8,12.8,0.1,100.0,142.4,1040.0,1.0,36.5,113.3,20.8,0.1,97.5,140.7,888.0,1.0,20.6,106.7,0.0,0.0,,
30.5,110.9,13.4,0.1,99.5,142.2,1015.0,1.0,37.0,113.4,21.8,0.1,97.0,140.5,870.0,1.0,21.1,106.9,0.0,0.0,,
31.0,111.0,13.9,0.1,99.0,142.0,995.0,1.0,37.5,113.5,22.5,0.1,96.5,140.4,850.0,1.0,21.6,107.1,0.0,0.0,,
