,,N,i,f,d,na,,,,lambda0,media na,std,err,na teórico
1,1,20,4.72,4.55,0.17,0.372235294,0.800689533,1.013357062,0.588022004,6.33E-07,0.800689533,0.212667529,-20%,1.00029
1,0,20,4.55,4.87,0.32,0.19775,0.800689533,1.013357062,0.588022004,,,,,
0,1,26,4.84,4.93,0.09,0.914044444,0.800689533,1.013357062,0.588022004,,,,,
0,0,30,4.93,4.81,0.12,0.791,0.800689533,1.013357062,0.588022004,,,,,
1,1,24,4.86,4.95,0.09,0.843733333,0.800689533,1.013357062,0.588022004,,,,,
1,0,20,4.95,4.85,0.1,0.6328,0.800689533,1.013357062,0.588022004,,,,,
0,1,40,3.63,3.78,0.15,0.843733333,0.800689533,1.013357062,0.588022004,,,,,
0,0,40,3.1,2.97,0.13,0.973538462,0.800689533,1.013357062,0.588022004,,,,,
0,1,30,2.97,3.09,0.12,0.791,0.800689533,1.013357062,0.588022004,,,,,
0,0,40,2.26,2.11,0.15,0.843733333,0.800689533,1.013357062,0.588022004,,,,,
1,1,23,1.92,2.01,0.09,0.808577778,0.800689533,1.013357062,0.588022004,,,,,
1,0,30,2.01,1.9,0.11,0.862909091,0.800689533,1.013357062,0.588022004,,,,,
0,1,36,1.25,1.39,0.14,0.8136,0.800689533,1.013357062,0.588022004,,,,,
0,0,28,1.39,1.28,0.11,0.805381818,0.800689533,1.013357062,0.588022004,,,,,
1,1,15,0.6,0.67,0.07,0.678,0.800689533,1.013357062,0.588022004,,,,,
1,0,35,0.67,0.54,0.13,0.851846154,0.800689533,1.013357062,0.588022004,,,,,
0,1,30,4.07,4.2,0.13,0.730153846,0.800689533,1.013357062,0.588022004,,,,,
0,0,36,4.2,4.05,0.15,0.75936,0.800689533,1.013357062,0.588022004,,,,,
1,1,37,4.3,4.44,0.14,0.8362,0.800689533,1.013357062,0.588022004,,,,,
1,0,20,4.44,4.34,0.1,0.6328,0.800689533,1.013357062,0.588022004,,,,,
