,N,i,f,theta,theta rad,nv,,,,h,lambda0,media na,std,std %,err,nv teórico
1,30,0,5.2,5.2,0.090757121,1.724871286,1.717033365,2.068125519,1.365941211,0.0055,6.33E-07,1.717033365,0.234061436,14%,-13%,1.52
1,25,0,4.9,4.9,0.085521133,1.650974302,1.717033365,2.068125519,1.365941211,,,,,,,
0,51,0,6.9,6.2,0.108210414,2.012363869,1.717033365,2.068125519,1.365941211,,,,,,,
1,40,0,6,6,0.104719755,1.727867181,1.717033365,2.068125519,1.365941211,,,,,,,
0,70,3,9.9,6.9,0.120427718,2.262371592,1.717033365,2.068125519,1.365941211,,,,,,,
0,100,0,9.8,9.8,0.171042267,1.658905414,1.717033365,2.068125519,1.365941211,,,,,,,
1,51,2,7.8,5.8,0.101229097,2.350355385,1.717033365,2.068125519,1.365941211,,,,,,,
1,100,0,10,10,0.174532925,1.617152502,1.717033365,2.068125519,1.365941211,,,,,,,
0,50,0,7.3,7.3,0.127409035,1.553737242,1.717033365,2.068125519,1.365941211,,,,,,,
0,50,0,6.6,6.6,0.115191731,1.771485882,1.717033365,2.068125519,1.365941211,,,,,,,
1,60,0,7.4,7.4,0.129154365,1.712920149,1.717033365,2.068125519,1.365941211,,,,,,,
0,30,0,6.3,6.3,0.109955743,1.402064305,1.717033365,2.068125519,1.365941211,,,,,,,
