thetaA,Vpp mV,u(theta A),u(Vpp)
90,123,0.5,2
85,138,0.5,2
80,145,0.5,2
75,160,0.5,2
70,166,0.5,2
65,174,0.5,2
60,178,0.5,2
55,178,0.5,2
50,176,0.5,2
45,170,0.5,2
40,164,0.5,2
35,154,0.5,2
30,144,0.5,2
25,132,0.5,2
20,116,0.5,2
15,100,0.5,2
10,86.4,0.5,0.2
5,71.2,0.5,0.2
0,57.6,0.5,0.2
-5,43.6,0.5,0.2
-10,32.8,0.5,0.2
-15,23.2,0.5,0.2
-20,14.6,0.5,0.2
-25,9.04,0.5,0.02
-30,6.4,0.5,0.2
-35,6,0.5,0.2
-40,8.24,0.5,0.02
-45,13.1,0.5,0.2
-50,20.6,0.5,0.2
-55,28.6,0.5,0.2
-60,39.8,0.5,0.2
-65,50.8,0.5,0.2
-70,67.2,0.5,0.2
-75,82.4,0.5,0.2
-80,100,0.5,2
-85,114,0.5,2
-90,128,0.5,2
-95,140,0.5,2
