thetaA,Vpp mV,u(thetaA),u(Vpp)
90,122,0.5,2
85,137,0.5,2
80,147,0.5,2
75,162,0.5,2
70,168,0.5,2
65,176,0.5,2
60,180,0.5,2
55,180,0.5,2
50,178,0.5,2
45,172,0.5,2
40,166,0.5,2
35,158,0.5,2
30,146,0.5,2
25,132,0.5,2
20,120,0.5,2
15,104,0.5,2
10,86.4,0.5,0.2
5,72,0.5,0.2
0,57.6,0.5,0.2
-5,44,0.5,0.2
-10,32.4,0.5,0.2
-15,21,0.5,0.2
-20,12.6,0.5,0.2
-25,6.56,0.5,0.02
-30,2.4,0.5,0.2
-35,1,0.5,0.2
-40,4.88,0.5,0.02
-45,9.92,0.5,0.02
-50,17,0.5,0.2
-55,24.6,0.5,0.2
-60,36.4,0.5,0.2
-65,50.4,0.5,0.2
-70,64.8,0.5,0.2
-75,81.6,0.5,0.2
-80,96.8,0.5,0.2
-85,112,0.5,2
-90,127,0.5,2
-95,149,0.5,2
