ThetaA,Vdpp,u(Theta A),u(Vpp)
90,81.6,0.5,0.2
85,94.4,0.5,0.2
80,103,0.5,2
75,114,0.5,2
70,124,0.5,2
65,132,0.5,2
60,136,0.5,2
55,139,0.5,2
50,140,0.5,2
45,139,0.5,2
40,136,0.5,2
35,131,0.5,2
30,126,0.5,2
25,119,0.5,2
20,110,0.5,2
15,97.6,0.5,0.2
10,86.4,0.5,0.2
5,76,0.5,0.2
0,64.8,0.5,0.2
-5,53.8,0.5,0.2
-10,43.6,0.5,0.2
-15,33.6,0.5,0.2
-20,25,0.5,0.2
-25,17.6,0.5,0.2
-30,12.4,0.5,0.2
-35,8.88,0.5,0.02
-40,7.46,0.5,0.02
-45,8.24,0.5,0.02
-50,11.5,0.5,0.2
-55,14.1,0.5,0.2
-60,20.8,0.5,0.2
-65,29,0.5,0.2
-70,38.8,0.5,0.2
-75,49.6,0.5,0.2
-80,61.6,0.5,0.2
-85,73.6,0.5,0.2
-90,86.4,0.5,0.2
-95,97.6,0.5,0.2
