ThetaA,Vdpp,u(theta A),
90,125,0.5,2
85,129,0.5,2
80,131,0.5,2
75,137,0.5,2
70,134,0.5,2
65,134,0.5,2
60,131,0.5,2
55,126,0.5,2
50,118,0.5,2
45,109,0.5,2
40,100,0.5,2
35,90.4,0.5,0.2
30,80.8,0.5,0.2
25,70.4,0.5,0.2
20,60,0.5,0.2
15,49.6,0.5,0.2
10,40.4,0.5,0.2
5,33.2,0.5,0.2
0,27.4,0.5,0.2
-5,23.4,0.5,0.2
-10,20.6,0.5,0.2
-15,19,0.5,0.2
-20,18.8,0.5,0.2
-25,21.6,0.5,0.2
-30,26,0.5,0.2
-35,31,0.5,0.2
-40,38.4,0.5,0.2
-45,46,0.5,0.2
-50,53.2,0.5,0.2
-55,59.6,0.5,0.2
-60,70,0.5,0.2
-65,81.6,0.5,0.2
-70,93.6,0.5,0.2
-75,102,0.5,2
-80,113,0.5,2
-85,121,0.5,2
-90,128,0.5,2
-95,131,0.5,2
